dt,Channel,costs
2019-05-01,FaceBoom,113.30000000000001
2019-05-02,FaceBoom,78.10000000000001
2019-05-03,FaceBoom,85.80000000000001
2019-05-04,FaceBoom,136.4
2019-05-05,FaceBoom,122.10000000000001
2019-05-06,FaceBoom,118.80000000000001
2019-05-07,FaceBoom,101.2
2019-05-08,FaceBoom,100.10000000000001
2019-05-09,FaceBoom,93.50000000000001
2019-05-10,FaceBoom,104.50000000000001
2019-05-11,FaceBoom,132.0
2019-05-12,FaceBoom,100.10000000000001
2019-05-13,FaceBoom,105.60000000000001
2019-05-14,FaceBoom,92.4
2019-05-15,FaceBoom,100.10000000000001
2019-05-16,FaceBoom,110.00000000000001
2019-05-17,FaceBoom,101.2
2019-05-18,FaceBoom,117.7
2019-05-19,FaceBoom,128.70000000000002
2019-05-20,FaceBoom,99.00000000000001
2019-05-21,FaceBoom,88.0
2019-05-22,FaceBoom,115.50000000000001
2019-05-23,FaceBoom,97.9
2019-05-24,FaceBoom,82.5
2019-05-25,FaceBoom,99.00000000000001
2019-05-26,FaceBoom,140.8
2019-05-27,FaceBoom,91.30000000000001
2019-05-28,FaceBoom,107.80000000000001
2019-05-29,FaceBoom,169.4
2019-05-30,FaceBoom,178.20000000000002
2019-05-31,FaceBoom,213.4
2019-06-01,FaceBoom,214.50000000000003
2019-06-02,FaceBoom,234.3
2019-06-03,FaceBoom,159.5
2019-06-04,FaceBoom,147.4
2019-06-05,FaceBoom,138.60000000000002
2019-06-06,FaceBoom,143.0
2019-06-07,FaceBoom,193.60000000000002
2019-06-08,FaceBoom,135.3
2019-06-09,FaceBoom,163.9
2019-06-10,FaceBoom,135.3
2019-06-11,FaceBoom,124.30000000000001
2019-06-12,FaceBoom,118.80000000000001
2019-06-13,FaceBoom,114.4
2019-06-14,FaceBoom,163.9
2019-06-15,FaceBoom,176.0
2019-06-16,FaceBoom,210.10000000000002
2019-06-17,FaceBoom,158.4
2019-06-18,FaceBoom,140.8
2019-06-19,FaceBoom,144.10000000000002
2019-06-20,FaceBoom,171.60000000000002
2019-06-21,FaceBoom,174.9
2019-06-22,FaceBoom,258.5
2019-06-23,FaceBoom,232.10000000000002
2019-06-24,FaceBoom,237.60000000000002
2019-06-25,FaceBoom,217.8
2019-06-26,FaceBoom,210.10000000000002
2019-06-27,FaceBoom,227.70000000000002
2019-06-28,FaceBoom,235.4
2019-06-29,FaceBoom,255.20000000000002
2019-06-30,FaceBoom,264.0
2019-07-01,FaceBoom,242.00000000000003
2019-07-02,FaceBoom,233.20000000000002
2019-07-03,FaceBoom,193.60000000000002
2019-07-04,FaceBoom,204.60000000000002
2019-07-05,FaceBoom,240.9
2019-07-06,FaceBoom,227.70000000000002
2019-07-07,FaceBoom,194.70000000000002
2019-07-08,FaceBoom,179.3
2019-07-09,FaceBoom,168.3
2019-07-10,FaceBoom,156.20000000000002
2019-07-11,FaceBoom,144.10000000000002
2019-07-12,FaceBoom,159.5
2019-07-13,FaceBoom,134.20000000000002
2019-07-14,FaceBoom,182.60000000000002
2019-07-15,FaceBoom,160.60000000000002
2019-07-16,FaceBoom,123.20000000000002
2019-07-17,FaceBoom,90.2
2019-07-18,FaceBoom,108.9
2019-07-19,FaceBoom,145.20000000000002
2019-07-20,FaceBoom,189.20000000000002
2019-07-21,FaceBoom,158.4
2019-07-22,FaceBoom,141.9
2019-07-23,FaceBoom,136.4
2019-07-24,FaceBoom,128.70000000000002
2019-07-25,FaceBoom,133.10000000000002
2019-07-26,FaceBoom,179.3
2019-07-27,FaceBoom,204.60000000000002
2019-07-28,FaceBoom,206.8
2019-07-29,FaceBoom,198.00000000000003
2019-07-30,FaceBoom,167.20000000000002
2019-07-31,FaceBoom,161.70000000000002
2019-08-01,FaceBoom,194.70000000000002
2019-08-02,FaceBoom,218.9
2019-08-03,FaceBoom,261.8
2019-08-04,FaceBoom,216.70000000000002
2019-08-05,FaceBoom,229.9
2019-08-06,FaceBoom,159.5
2019-08-07,FaceBoom,155.10000000000002
2019-08-08,FaceBoom,159.5
2019-08-09,FaceBoom,188.10000000000002
2019-08-10,FaceBoom,205.70000000000002
2019-08-11,FaceBoom,192.50000000000003
2019-08-12,FaceBoom,206.8
2019-08-13,FaceBoom,161.70000000000002
2019-08-14,FaceBoom,152.9
2019-08-15,FaceBoom,206.8
2019-08-16,FaceBoom,229.9
2019-08-17,FaceBoom,264.0
2019-08-18,FaceBoom,234.3
2019-08-19,FaceBoom,228.8
2019-08-20,FaceBoom,159.5
2019-08-21,FaceBoom,194.70000000000002
2019-08-22,FaceBoom,169.4
2019-08-23,FaceBoom,225.50000000000003
2019-08-24,FaceBoom,229.9
2019-08-25,FaceBoom,203.50000000000003
2019-08-26,FaceBoom,193.60000000000002
2019-08-27,FaceBoom,216.70000000000002
2019-08-28,FaceBoom,191.4
2019-08-29,FaceBoom,211.20000000000002
2019-08-30,FaceBoom,203.50000000000003
2019-08-31,FaceBoom,207.9
2019-09-01,FaceBoom,221.10000000000002
2019-09-02,FaceBoom,183.70000000000002
2019-09-03,FaceBoom,161.70000000000002
2019-09-04,FaceBoom,148.5
2019-09-05,FaceBoom,170.5
2019-09-06,FaceBoom,167.20000000000002
2019-09-07,FaceBoom,176.0
2019-09-08,FaceBoom,144.10000000000002
2019-09-09,FaceBoom,135.3
2019-09-10,FaceBoom,176.0
2019-09-11,FaceBoom,158.4
2019-09-12,FaceBoom,128.70000000000002
2019-09-13,FaceBoom,156.20000000000002
2019-09-14,FaceBoom,198.00000000000003
2019-09-15,FaceBoom,195.8
2019-09-16,FaceBoom,173.8
2019-09-17,FaceBoom,167.20000000000002
2019-09-18,FaceBoom,188.10000000000002
2019-09-19,FaceBoom,178.20000000000002
2019-09-20,FaceBoom,240.9
2019-09-21,FaceBoom,248.60000000000002
2019-09-22,FaceBoom,299.20000000000005
2019-09-23,FaceBoom,236.50000000000003
2019-09-24,FaceBoom,243.10000000000002
2019-09-25,FaceBoom,227.70000000000002
2019-09-26,FaceBoom,248.60000000000002
2019-09-27,FaceBoom,294.8
2019-09-28,FaceBoom,295.90000000000003
2019-09-29,FaceBoom,290.40000000000003
2019-09-30,FaceBoom,260.70000000000005
2019-10-01,FaceBoom,258.5
2019-10-02,FaceBoom,259.6
2019-10-03,FaceBoom,222.20000000000002
2019-10-04,FaceBoom,262.90000000000003
2019-10-05,FaceBoom,258.5
2019-10-06,FaceBoom,238.70000000000002
2019-10-07,FaceBoom,210.10000000000002
2019-10-08,FaceBoom,201.3
2019-10-09,FaceBoom,172.70000000000002
2019-10-10,FaceBoom,176.0
2019-10-11,FaceBoom,235.4
2019-10-12,FaceBoom,216.70000000000002
2019-10-13,FaceBoom,180.4
2019-10-14,FaceBoom,172.70000000000002
2019-10-15,FaceBoom,163.9
2019-10-16,FaceBoom,154.0
2019-10-17,FaceBoom,158.4
2019-10-18,FaceBoom,200.20000000000002
2019-10-19,FaceBoom,216.70000000000002
2019-10-20,FaceBoom,225.50000000000003
2019-10-21,FaceBoom,201.3
2019-10-22,FaceBoom,189.20000000000002
2019-10-23,FaceBoom,178.20000000000002
2019-10-24,FaceBoom,222.20000000000002
2019-10-25,FaceBoom,255.20000000000002
2019-10-26,FaceBoom,272.8
2019-10-27,FaceBoom,233.20000000000002
2019-05-01,MediaTornado,6.24
2019-05-02,MediaTornado,5.04
2019-05-03,MediaTornado,6.96
2019-05-04,MediaTornado,9.36
2019-05-05,MediaTornado,11.04
2019-05-06,MediaTornado,9.6
2019-05-07,MediaTornado,8.879999999999999
2019-05-08,MediaTornado,6.72
