record_id,item_topic,source_topic,age_segment,dt,visits
1040597,Деньги,Авто,18-25,2019-09-24 18:32:00,3
1040598,Деньги,Авто,18-25,2019-09-24 18:35:00,1
1040599,Деньги,Авто,18-25,2019-09-24 18:54:00,4
1040600,Деньги,Авто,18-25,2019-09-24 18:55:00,17
1040601,Деньги,Авто,18-25,2019-09-24 18:56:00,27
1040602,Деньги,Авто,18-25,2019-09-24 18:57:00,22
1040603,Деньги,Авто,18-25,2019-09-24 18:58:00,24
1040604,Деньги,Авто,18-25,2019-09-24 18:59:00,20
1040605,Деньги,Авто,18-25,2019-09-24 19:00:00,5
1040606,Деньги,Авто,26-30,2019-09-24 18:29:00,1
1040607,Деньги,Авто,26-30,2019-09-24 18:30:00,1
1040608,Деньги,Авто,26-30,2019-09-24 18:31:00,1
1040609,Деньги,Авто,26-30,2019-09-24 18:32:00,1
1040610,Деньги,Авто,26-30,2019-09-24 18:54:00,4
1040611,Деньги,Авто,26-30,2019-09-24 18:55:00,13
1040612,Деньги,Авто,26-30,2019-09-24 18:56:00,18
1040613,Деньги,Авто,26-30,2019-09-24 18:57:00,15
1040614,Деньги,Авто,26-30,2019-09-24 18:58:00,13
1040615,Деньги,Авто,26-30,2019-09-24 18:59:00,13
1040616,Деньги,Авто,26-30,2019-09-24 19:00:00,5
1040617,Деньги,Авто,31-35,2019-09-24 18:30:00,1
1040618,Деньги,Авто,31-35,2019-09-24 18:54:00,1
1040619,Деньги,Авто,31-35,2019-09-24 18:55:00,4
1040620,Деньги,Авто,31-35,2019-09-24 18:56:00,10
1040621,Деньги,Авто,31-35,2019-09-24 18:57:00,9
1040622,Деньги,Авто,31-35,2019-09-24 18:58:00,14
1040623,Деньги,Авто,31-35,2019-09-24 18:59:00,11
1040624,Деньги,Авто,31-35,2019-09-24 19:00:00,6
1040625,Деньги,Авто,36-40,2019-09-24 18:30:00,1
1040626,Деньги,Авто,36-40,2019-09-24 18:32:00,1
1040627,Деньги,Авто,36-40,2019-09-24 18:52:00,1
1040628,Деньги,Авто,36-40,2019-09-24 18:54:00,1
1040629,Деньги,Авто,36-40,2019-09-24 18:55:00,4
1040630,Деньги,Авто,36-40,2019-09-24 18:56:00,10
1040631,Деньги,Авто,36-40,2019-09-24 18:57:00,8
1040632,Деньги,Авто,36-40,2019-09-24 18:58:00,7
1040633,Деньги,Авто,36-40,2019-09-24 18:59:00,6
1040634,Деньги,Авто,36-40,2019-09-24 19:00:00,3
1040635,Деньги,Авто,41-45,2019-09-24 18:29:00,2
1040636,Деньги,Авто,41-45,2019-09-24 18:30:00,1
1040637,Деньги,Авто,41-45,2019-09-24 18:33:00,1
1040638,Деньги,Авто,41-45,2019-09-24 18:55:00,1
1040639,Деньги,Авто,41-45,2019-09-24 18:56:00,2
1040640,Деньги,Авто,41-45,2019-09-24 18:57:00,5
1040641,Деньги,Авто,41-45,2019-09-24 18:58:00,2
1040642,Деньги,Авто,41-45,2019-09-24 18:59:00,1
1040643,Деньги,Авто,45+,2019-09-24 18:54:00,1
1040644,Деньги,Авто,45+,2019-09-24 18:55:00,1
1040645,Деньги,Авто,45+,2019-09-24 18:56:00,3
1040646,Деньги,Авто,45+,2019-09-24 18:57:00,2
1040647,Деньги,Авто,45+,2019-09-24 18:58:00,9
1040648,Деньги,Авто,45+,2019-09-24 19:00:00,1
1040649,Деньги,Деньги,18-25,2019-09-24 18:32:00,2
1040650,Деньги,Деньги,18-25,2019-09-24 18:33:00,1
1040651,Деньги,Деньги,18-25,2019-09-24 18:53:00,1
1040652,Деньги,Деньги,18-25,2019-09-24 18:54:00,3
1040653,Деньги,Деньги,18-25,2019-09-24 18:55:00,14
1040654,Деньги,Деньги,18-25,2019-09-24 18:56:00,18
1040655,Деньги,Деньги,18-25,2019-09-24 18:57:00,23
1040656,Деньги,Деньги,18-25,2019-09-24 18:58:00,15
1040657,Деньги,Деньги,18-25,2019-09-24 18:59:00,13
1040658,Деньги,Деньги,18-25,2019-09-24 19:00:00,7
1040659,Деньги,Деньги,26-30,2019-09-24 18:55:00,3
1040660,Деньги,Деньги,26-30,2019-09-24 18:56:00,6
1040661,Деньги,Деньги,26-30,2019-09-24 18:57:00,4
1040662,Деньги,Деньги,26-30,2019-09-24 18:58:00,5
1040663,Деньги,Деньги,26-30,2019-09-24 18:59:00,8
1040664,Деньги,Деньги,26-30,2019-09-24 19:00:00,2
1040665,Деньги,Деньги,31-35,2019-09-24 18:30:00,1
1040666,Деньги,Деньги,31-35,2019-09-24 18:31:00,1
1040667,Деньги,Деньги,31-35,2019-09-24 18:33:00,1
1040668,Деньги,Деньги,31-35,2019-09-24 18:54:00,4
1040669,Деньги,Деньги,31-35,2019-09-24 18:55:00,1
1040670,Деньги,Деньги,31-35,2019-09-24 18:56:00,4
1040671,Деньги,Деньги,31-35,2019-09-24 18:57:00,8
1040672,Деньги,Деньги,31-35,2019-09-24 18:58:00,9
1040673,Деньги,Деньги,31-35,2019-09-24 18:59:00,6
1040674,Деньги,Деньги,36-40,2019-09-24 18:28:00,1
1040675,Деньги,Деньги,36-40,2019-09-24 18:55:00,3
1040676,Деньги,Деньги,36-40,2019-09-24 18:56:00,6
1040677,Деньги,Деньги,36-40,2019-09-24 18:58:00,5
1040678,Деньги,Деньги,36-40,2019-09-24 18:59:00,6
1040679,Деньги,Деньги,36-40,2019-09-24 19:00:00,1
1040680,Деньги,Деньги,41-45,2019-09-24 18:29:00,1
1040681,Деньги,Деньги,41-45,2019-09-24 18:54:00,3
1040682,Деньги,Деньги,41-45,2019-09-24 18:55:00,2
1040683,Деньги,Деньги,41-45,2019-09-24 18:56:00,5
1040684,Деньги,Деньги,41-45,2019-09-24 18:57:00,2
1040685,Деньги,Деньги,41-45,2019-09-24 18:58:00,1
1040686,Деньги,Деньги,41-45,2019-09-24 18:59:00,1
1040687,Деньги,Деньги,45+,2019-09-24 18:56:00,2
1040688,Деньги,Деньги,45+,2019-09-24 18:57:00,2
1040689,Деньги,Деньги,45+,2019-09-24 18:58:00,2
1040690,Деньги,Дети,18-25,2019-09-24 18:28:00,1
1040691,Деньги,Дети,18-25,2019-09-24 18:29:00,2
1040692,Деньги,Дети,18-25,2019-09-24 18:30:00,2
1040693,Деньги,Дети,18-25,2019-09-24 18:31:00,5
1040694,Деньги,Дети,18-25,2019-09-24 18:32:00,10
1040695,Деньги,Дети,18-25,2019-09-24 18:33:00,3
1040696,Деньги,Дети,18-25,2019-09-24 18:53:00,1
1040697,Деньги,Дети,18-25,2019-09-24 18:54:00,11
1040698,Деньги,Дети,18-25,2019-09-24 18:55:00,33
1040699,Деньги,Дети,18-25,2019-09-24 18:56:00,66
1040700,Деньги,Дети,18-25,2019-09-24 18:57:00,72
1040701,Деньги,Дети,18-25,2019-09-24 18:58:00,71
1040702,Деньги,Дети,18-25,2019-09-24 18:59:00,61
1040703,Деньги,Дети,18-25,2019-09-24 19:00:00,15
1040704,Деньги,Дети,26-30,2019-09-24 18:30:00,2
1040705,Деньги,Дети,26-30,2019-09-24 18:31:00,1
1040706,Деньги,Дети,26-30,2019-09-24 18:53:00,4
1040707,Деньги,Дети,26-30,2019-09-24 18:54:00,6
1040708,Деньги,Дети,26-30,2019-09-24 18:55:00,12
1040709,Деньги,Дети,26-30,2019-09-24 18:56:00,33
1040710,Деньги,Дети,26-30,2019-09-24 18:57:00,25
1040711,Деньги,Дети,26-30,2019-09-24 18:58:00,25
1040712,Деньги,Дети,26-30,2019-09-24 18:59:00,33
1040713,Деньги,Дети,26-30,2019-09-24 19:00:00,9
1040714,Деньги,Дети,31-35,2019-09-24 18:28:00,1
1040715,Деньги,Дети,31-35,2019-09-24 18:30:00,4
1040716,Деньги,Дети,31-35,2019-09-24 18:31:00,2
1040717,Деньги,Дети,31-35,2019-09-24 18:33:00,1
1040718,Деньги,Дети,31-35,2019-09-24 18:34:00,3
1040719,Деньги,Дети,31-35,2019-09-24 18:52:00,1
1040720,Деньги,Дети,31-35,2019-09-24 18:53:00,1
1040721,Деньги,Дети,31-35,2019-09-24 18:54:00,9
1040722,Деньги,Дети,31-35,2019-09-24 18:55:00,18
1040723,Деньги,Дети,31-35,2019-09-24 18:56:00,20
1040724,Деньги,Дети,31-35,2019-09-24 18:57:00,42
1040725,Деньги,Дети,31-35,2019-09-24 18:58:00,24
1040726,Деньги,Дети,31-35,2019-09-24 18:59:00,30
1040727,Деньги,Дети,31-35,2019-09-24 19:00:00,12
1040728,Деньги,Дети,36-40,2019-09-24 18:28:00,1
1040729,Деньги,Дети,36-40,2019-09-24 18:30:00,2
1040730,Деньги,Дети,36-40,2019-09-24 18:33:00,1
1040731,Деньги,Дети,36-40,2019-09-24 18:53:00,1
1040732,Деньги,Дети,36-40,2019-09-24 18:54:00,6
1040733,Деньги,Дети,36-40,2019-09-24 18:55:00,17
1040734,Деньги,Дети,36-40,2019-09-24 18:56:00,16
1040735,Деньги,Дети,36-40,2019-09-24 18:57:00,21
1040736,Деньги,Дети,36-40,2019-09-24 18:58:00,33
1040737,Деньги,Дети,36-40,2019-09-24 18:59:00,21
1040738,Деньги,Дети,36-40,2019-09-24 19:00:00,5
1040739,Деньги,Дети,41-45,2019-09-24 18:28:00,1
1040740,Деньги,Дети,41-45,2019-09-24 18:30:00,1
1040741,Деньги,Дети,41-45,2019-09-24 18:31:00,1
1040742,Деньги,Дети,41-45,2019-09-24 18:32:00,1
1040743,Деньги,Дети,41-45,2019-09-24 18:54:00,1
1040744,Деньги,Дети,41-45,2019-09-24 18:55:00,7
1040745,Деньги,Дети,41-45,2019-09-24 18:56:00,1
1040746,Деньги,Дети,41-45,2019-09-24 18:57:00,13
1040747,Деньги,Дети,41-45,2019-09-24 18:58:00,10
1040748,Деньги,Дети,41-45,2019-09-24 18:59:00,7
1040749,Деньги,Дети,41-45,2019-09-24 19:00:00,1
1040750,Деньги,Дети,45+,2019-09-24 18:52:00,1
1040751,Деньги,Дети,45+,2019-09-24 18:55:00,4
1040752,Деньги,Дети,45+,2019-09-24 18:56:00,2
1040753,Деньги,Дети,45+,2019-09-24 18:57:00,4
1040754,Деньги,Дети,45+,2019-09-24 18:58:00,5
1040755,Деньги,Дети,45+,2019-09-24 18:59:00,1
1040756,Деньги,Дети,45+,2019-09-24 19:00:00,3
1040757,Деньги,Еда,18-25,2019-09-24 18:29:00,2
1040758,Деньги,Еда,18-25,2019-09-24 18:30:00,1
1040759,Деньги,Еда,18-25,2019-09-24 18:31:00,2
1040760,Деньги,Еда,18-25,2019-09-24 18:32:00,1
1040761,Деньги,Еда,18-25,2019-09-24 18:52:00,1
1040762,Деньги,Еда,18-25,2019-09-24 18:53:00,2
1040763,Деньги,Еда,18-25,2019-09-24 18:54:00,3
1040764,Деньги,Еда,18-25,2019-09-24 18:55:00,10
1040765,Деньги,Еда,18-25,2019-09-24 18:56:00,16
1040766,Деньги,Еда,18-25,2019-09-24 18:57:00,21
1040767,Деньги,Еда,18-25,2019-09-24 18:58:00,22
1040768,Деньги,Еда,18-25,2019-09-24 18:59:00,23
1040769,Деньги,Еда,18-25,2019-09-24 19:00:00,8
1040770,Деньги,Еда,26-30,2019-09-24 18:31:00,1
1040771,Деньги,Еда,26-30,2019-09-24 18:32:00,2
1040772,Деньги,Еда,26-30,2019-09-24 18:54:00,3
1040773,Деньги,Еда,26-30,2019-09-24 18:55:00,5
1040774,Деньги,Еда,26-30,2019-09-24 18:56:00,8
1040775,Деньги,Еда,26-30,2019-09-24 18:57:00,7
1040776,Деньги,Еда,26-30,2019-09-24 18:58:00,4
1040777,Деньги,Еда,26-30,2019-09-24 18:59:00,2
1040778,Деньги,Еда,31-35,2019-09-24 18:54:00,2
1040779,Деньги,Еда,31-35,2019-09-24 18:55:00,1
1040780,Деньги,Еда,31-35,2019-09-24 18:56:00,4
1040781,Деньги,Еда,31-35,2019-09-24 18:57:00,7
1040782,Деньги,Еда,31-35,2019-09-24 18:58:00,3
1040783,Деньги,Еда,31-35,2019-09-24 18:59:00,4
1040784,Деньги,Еда,31-35,2019-09-24 19:00:00,1
1040785,Деньги,Еда,36-40,2019-09-24 18:57:00,9
1040786,Деньги,Еда,36-40,2019-09-24 18:58:00,2
1040787,Деньги,Еда,36-40,2019-09-24 18:59:00,1
1040788,Деньги,Еда,36-40,2019-09-24 19:00:00,5
1040789,Деньги,Еда,41-45,2019-09-24 18:54:00,1
1040790,Деньги,Еда,41-45,2019-09-24 18:55:00,1
1040791,Деньги,Еда,41-45,2019-09-24 18:57:00,1
1040792,Деньги,Еда,41-45,2019-09-24 19:00:00,1
1040793,Деньги,Еда,45+,2019-09-24 18:55:00,1
1040794,Деньги,Еда,45+,2019-09-24 18:57:00,2
